key,source,target
Content/2513090629, 100113001211 <br> 10131221120112321310,
Content/3622026869, 1010121113111303,
Content/3514553089, 1010121113111303 <br> 1020123312311233,
Content/1273579361, 1010123313021231120112321310 <BR> 1103131012011310131113033322,
Content/3344693288, 1012120112031211230122113101321 <BR> 1110121113031310122112321213,
Content/1142192903, 10122012111302 <br> 100213021233123312101231123313,
Content/80918097, 1020123312311221123212211210 <BR> 10111320131013021201,
Content/938612768, 103012211322120113021210 <br> 1012122113021211,
Content/4032608850, 110212111203123 <br> 113031310130212,
Content/3406852688, 1103120113001221121112321303 <BR> 1020123312311233,
Content/2315076834, 11131012201211120113021223 <br> <br> 1010123313021231120112321310 <br> <br> 100113001211,
Content/1647334565, 11131012201211120113021223 <br> <br> 1010123313021231120112321310 <br> <br> 10122012111302,
Content/2235642036, 11131012201211120113021223 <br> <br> 1010123313021231120112321310 <br> <br> 10301221132120113021210,
Content/2695638467, 11131012201211120113021223 <BR> 100013031311130213121221131212,
Content/4217722493, 11210 <br> <br> 301303302313 <br> 10031233123012331232122113031310 <br> <br> 1020123312311233,
Content/503802882, 11210 <br> 10111232121012011232121312111302121,
Content/3190664819, 3122112111303 <br> 0312011230 <br> 102012211303131,
Content/4038400078, 3122112111303 <br> 110313001211120 <br> 0312011230 <br> 012331302122112 <br> 102012211303131 <br> 110013021211231,
Content/845013814, (+10 к максимальному уровню выжившего),
Content/3676423812, (+15 к максимальному уровню выжившего),
Content/4004698144, (+5 к максимальному уровню выжившего),
Content/572836242," ({DayPct}% день, {NightPct}% ночь)",
Content/4128891408, : Переключить RTS режим,
Content/1941761426, <br> 110212111203123313021210 <BR> 110013021211130312111302131212 <BR> <BR> 10111320131013021201,
Content/2450044979, <br> 110212111203123313021210 <BR> 110013021211130312111302131212 <BR> <BR> 1020123312311233,
Content/2271510936, Cheat Summon bossteleporter_spider_easy_c,
Content/3556525234, Время перезарядки двери: {1h},
Content/2151908253, Время перезарядки спавна: {1h},
Content/888605196, Отключение потери прав (через 7 дней) на владение существом. Без установки этой настройки любой дино со временем может быть заклеймен любым игроком. ,
Content/3585239671, Ручное командование ,
Content/1211961643, Карта прыжок ,
Content/120056706, Нефть,
Content/3268934406, Могила Сантьяго,
Content/3143033842, | Прогресс увеличится на: ,
Content/792855726,"Стиль волос на голове: ""Афро""",
Content/4129420690,"Эмоция ""Стойка лучника""",
Content/739130269,"Эмоция ""Сальто назад""",
Content/1117787787,"Эмоция ""Поцелуй бицепса""",
Content/833147918,"Стиль волос на голове: ""Косички""",
Content/3926226048,"Эмоция ""Удар в грудь""",
Content/1482538012,"Стиль волос на лице: ""Завитые усы""",
Content/1446851692,"Эмоция ""Танец""",
Content/1558743344,"Стиль волос на лице: ""Дреды""",
Content/278435717,"Стиль волос на голове: ""Дреды""",
Content/632780745,"Эмоция ""Зло""",
Content/1655020150,"Стиль волос на лице: ""Эспаньолка""",
Content/643344663,"Эмоция ""Сердце""",
Content/3820237599,"Эмоция ""Танец хула""",
Content/2902603737,Гран-при «Король размаха»,
Content/2300645258,"Эмоция ""Стук""",
Content/3944973482,"Стиль волос на голове: ""Ирокез""",
Content/564152109,"Стиль волос на лице: ""Усы""",
Content/2070978592,"Стиль волос на лице: ""Бакенбарды""",
Content/2637203536,"Стиль волос на голове: ""Хвост""",
Content/824893789,"Стиль волос на лице: ""Романтический""",
Content/3104943150,"Стиль волос на голове: ""Романтический""",
Content/737920927,"Эмоция ""Напугать""",
Content/3500347465,"Эмоция ""Обнять себя""",
Content/3880711618,"Эмоция ""Бросить снежок!""",
Content/4118189319,"Эмоция ""Сладость или гадость 1""",
Content/1013554616,"Эмоция ""Сладость или гадость 2""",
Content/219533937,"Эмоция ""Индейка""",
Content/3138522526,"Стиль волос на лице: ""Борода викинга""",
Content/2920121055,"Стиль волос на голове: ""Викинг""",
Content/4175283099,"""Тебе больше нечем удивить меня, жизнь"", - заявила я. - ""После виверн, големов и гигантских песчаных червей я готова ко всему.""
""А как насчет летающих монстро-кальмаро-летучих-мышей-убийц?"" - ответила мне жизнь.
""Ладно, вот теперь я слегка удивлена,"" - признала я.

Именно так я думала, когда, проклиная всё на свете, целый день отстреливалась от этих тварей. По крайней мере в те моменты, когда не удирала от них. К счастью, после того, как мы с Роквеллом немного сократили их поголовье, они решили, что мы не стоим таких жертв. Надеюсь, они не передумают - у меня осталось не так много патронов на случай, если эти твари решат наведаться снова.
И да, я знаю, что ЛМКЛМУ не самое научное прозвище, но я сейчас чертовски устала, поэтому пускай пока будет так... конечно, во время перестрелки проскальзывали еще варианты, но их я лучше записывать не буду.",
Content/4224848549,"Эмоция ""Зомби""",
Content/2594475951,% {0} req {1} aff {2},
Content/2459569106,%я,
Content/2496757289,%я ,
Content/2300739577,( {консоль} ),
Content/2454962434,"(«Дино светло-красный», «Дино светло-оранжевый», «Дино светло-зеленый», «Дино светло-синий», «Дино светло-фиолетовый», «DragonFire», «DragonBase0 "", ""DragonBase1"", ""DragonGreen0"", ""DragonGreen1"", ""DragonGreen3"", ""WyvernPurple0"", ""WyvernPurple1"", ""WyvernBlue0"", ""Dino Medium Blue », «Средняя бирюза», «Бирюзовый», «Светло-розовый», «Сиена жженая», «Средняя осенняя», «Киварная», «Коралловый», «Оранжевый». , «Персик», «Светлая осень», «Горчица», «Лимон-Лайм», «Мята», «Нефрит», «Лист зеленый», «Лаванда», \ «Средне-бирюзовый», «Бирюзовый», «Синий пудровый», «Заварной», «Кремовый»)",
Content/4226574828,(**) Дино не может быть приручен естественным образом,
Content/2692594994,(**) Яйцо не имеет оплодотворенного/необоснованного варианта,
Content/3626985719,(100/100),
Content/1137989932,(Escort_lunar_lanternpets_droppoint) ServersidePoint - 0 - 0,
Content/3369627605,(Fishing_ice_chairspawnpoint) ServersidePoint - 0 - 0,
Content/2914997395,(Fishing_ice_chairspawnpoint) ServersidePoint - 1 - 0,
Content/1735467551,(Fishing_ice_chairspawnpoint) ServersidePoint - 3 - 0,
Content/3813851082,(Fishing_ice_chairspawnpoint) ServersidePoint - 5 - 0,
Content/698140998,(Fishing_ice_chairspawnpoint) ServersidePoint - 7 - 0,
Content/3973198910,(Fishing_ice_fishspawnpoint) ServersidePoint - 0 - 0,
Content/478038479,(Hunt_dino_arctic_01) ServersidePoint - 0 - 1,
Content/248243745,(Hunt_dino_arctic_01) ServersidePoint - 0 - 2,
Content/3061285188,(Hunt_dino_artic_01) ServersidePoint - 0 - 3,
Content/3563476187,(Hunt_Dino_Artic_02) ServersidePoint - 1 - 0,
Content/2077169937,(Hunt_dino_arctic_02) ServersidePoint - 2 - 0,
Content/514335319,(Hunt_dino_artic_02) ServersidePoint - 3 - 0,
Content/3638072374,(Hunt_dino_arctic_03) ServersidePoint - 1 - 0,
Content/2003950076,(Hunt_dino_arctic_03) ServersidePoint - 2 - 0,
Content/303489722,(Hunt_dino_arctic_03) ServersidePoint - 3 - 0,
Content/574327446,(Hunt_dino_arctic_04) ServersidePoint - 0 - 1,
Content/814622072,(Hunt_dino_artic_04) ServersidePoint - 0 - 2,
Content/2284995101,(Hunt_dino_arctic_04) ServersidePoint - 0 - 3,
Content/780487291,(Hunt_dino_arctic_05) ServersidePoint - 0 - 1,
Content/1009837461,(Hunt_dino_artic_05) ServersidePoint - 0 - 2,
Content/2223801072,(Hunt_dino_arctic_05) ServersidePoint - 0 - 3,
Content/994446156,(Hunt_dino_arctic_06) ServersidePoint - 0 - 1,
Content/2437923783,(Hunt_dino_arctic_06) ServersidePoint - 0 - 3,
Content/939051937,(Hunt_dino_arctic_07) ServersidePoint - 0 - 1,
Content/625828943,(Hunt_dino_arctic_07) ServersidePoint - 0 - 2,
Content/2649817898,(Hunt_dino_arctic_07) ServersidePoint - 0 - 3,
Content/1966509642,(Hunt_dino_arctic_08) ServersidePoint - 0 - 1,
Content/1736647076,(Hunt_dino_arctic_08) ServersidePoint - 0 - 2,
Content/3745466049,(Hunt_dino_arctic_08) ServersidePoint - 0 - 3,
Content/2038976167,(Hunt_dino_arctic_09) ServersidePoint - 0 - 1,
Content/1799217481,(Hunt_dino_arctic_09) ServersidePoint - 0 - 2,
Content/3548481068,(Hunt_dino_arctic_09) ServersidePoint - 0 - 3,
Content/3599387034,(Hunt_dino_arctic_10) ServersidePoint - 0 - 1,
Content/3292522100,(Hunt_dino_arctic_10) ServersidePoint - 0 - 2,
Content/2088993041,(Hunt_dino_arctic_10) ServersidePoint - 0 - 3,
Content/3660876151,(Hunt_dino_arctic_11) ServersidePoint - 0 - 1,
Content/3363907225,(Hunt_dino_arctic_11) ServersidePoint - 0 - 2,
Content/1883062780,(Hunt_dino_arctic_11) ServersidePoint - 0 - 3,
Content/3489122368,(Hunt_dino_arctic_12) ServersidePoint - 0 - 1,
Content/3712116654,(Hunt_dino_arctic_12) ServersidePoint - 0 - 2,
Content/1711145163,(Hunt_dino_arctic_12) ServersidePoint - 0 - 3,
Content/3518723728,(Hunt_dino_arctic_a) ServersidePoint - 0 - 0,
Content/3296212903,(Hunt_dino_arctic_b) serversidepoint - 0 - 0,
Content/2575352521,(Hunt_dino_bog_01) ServersidePoint - 1 - 0,
Content/908693251,(Hunt_dino_bog_01) ServersidePoint - 2 - 0,
Content/1397666885,(Hunt_dino_bog_01) ServersidePoint - 3 - 0,
Content/2353234942,(Hunt_dino_bog_02) ServersidePoint - 1 - 0,
Content/602590772,(Hunt_dino_bog_02) ServersidePoint - 2 - 0,
Content/1183708530,(Hunt_dino_bog_02) ServersidePoint - 3 - 0,
Content/2164081427,(Hunt_dino_bog_03) ServersidePoint - 1 - 0,
Content/794037977,(Hunt_dino_bog_03) ServersidePoint - 2 - 0,
Content/1244870047,(Hunt_dino_bog_03) ServersidePoint - 3 - 0,
Content/2814706064,(Hunt_dino_bog_04) ServersidePoint - 1 - 0,
Content/141315162,(Hunt_dino_bog_04) ServersidePoint - 2 - 0,
Content/1829467932,(Hunt_dino_bog_04) ServersidePoint - 3 - 0,
Content/2877014397,(Hunt_dino_bog_05) ServersidePoint - 1 - 0,
Content/80907447,(Hunt_dino_bog_05) ServersidePoint - 2 - 0,
Content/1639299057,(Hunt_dino_bog_05) ServersidePoint - 3 - 0,
Content/3199762506,(Hunt_dino_bog_06) ServersidePoint - 1 - 0,
Content/286379392,(Hunt_dino_bog_06) ServersidePoint - 2 - 0,
Content/1953953478,(Hunt_dino_bog_06) ServersidePoint - 3 - 0,
Content/2986754215,(Hunt_dino_bog_07) ServersidePoint - 1 - 0,
Content/498011501,(Hunt_dino_bog_07) ServersidePoint - 2 - 0,
Content/2026386987,(Hunt_dino_bog_07) ServersidePoint - 3 - 0,
Content/4039640396,(Hunt_dino_bog_08) ServersidePoint - 1 - 0,
Content/1600211078,(Hunt_dino_bog_08) ServersidePoint - 2 - 0,
Content/973501376,(Hunt_dino_bog_08) ServersidePoint - 3 - 0,
Content/4235642273,(Hunt_dino_bog_09) ServersidePoint - 1 - 0,
Content/1407158379,(Hunt_dino_bog_09) ServersidePoint - 2 - 0,
Content/918074157,(Hunt_dino_bog_09) ServersidePoint - 3 - 0,
Content/1400160924,(Hunt_dino_bog_10) ServersidePoint - 1 - 0,
Content/4242378582,(Hunt_dino_bog_10) ServersidePoint - 2 - 0,
Content/2579149840,(Hunt_dino_bog_10) ServersidePoint - 3 - 0,
Content/1607074417,(Hunt_dino_bog_11) ServersidePoint - 1 - 0,
Content/4033040315,(Hunt_dino_bog_11) ServersidePoint - 2 - 0,
Content/2500097277,(Hunt_dino_bog_11) ServersidePoint - 3 - 0,
Content/1242121030,(Hunt_dino_bog_12) ServersidePoint - 1 - 0,
Content/3852471948,(Hunt_dino_bog_12) ServersidePoint - 2 - 0,
Content/2160539082,(Hunt_dino_bog_12) ServersidePoint - 3 - 0,
Content/2923429070,(Hunt_dino_bog_a) ServersidePoint - 0 - 0,
Content/3625013752,(Hunt_dino_bog_a_test) ServersidePoint - 0 - 0,
Content/3153903097,(Hunt_dino_bog_b) ServersidePoint - 0 - 0,
Content/3237187314,(Hunt_dino_eden_start) ServersidePoint - 0 - 0,
Content/164673089,(Hunt_dino_lunar_01) ServersidePoint - 0 - 1,
Content/2748939978,(Hunt_dino_lunar_01) ServersidePoint - 0 - 3,
Content/471070582,(Hunt_dino_lunar_02) ServersidePoint - 0 - 1,
Content/245782680,(Hunt_dino_lunar_02) ServersidePoint - 0 - 2,
Content/3055173629,(Hunt_dino_lunar_02) ServersidePoint - 0 - 3,
Content/279787419,(Hunt_dino_lunar_03) ServersidePoint - 0 - 1,
Content/35166325,(Hunt_dino_lunar_03) ServersidePoint - 0 - 2,
Content/3131375376,(Hunt_dino_lunar_03) ServersidePoint - 0 - 3,
Content/932541720,(Hunt_dino_lunar_04) ServersidePoint - 0 - 1,
Content/622910198,(Hunt_dino_lunar_04) ServersidePoint - 0 - 2,
Content/2644295059,(Hunt_dino_lunar_04) ServersidePoint - 0 - 3,
Content/992720373,(Hunt_dino_lunar_05) ServersidePoint - 0 - 1,
Content/698227227,(Hunt_dino_lunar_05) ServersidePoint - 0 - 2,
Content/2434956670,(Hunt_dino_lunar_05) ServersidePoint - 0 - 3,
Content/787018946,(Hunt_dino_lunar_06) ServersidePoint - 0 - 1,
Content/1012751148,(Hunt_dino_lunar_06) ServersidePoint - 0 - 2,
Content/2229353545,(Hunt_dino_lunar_06) ServersidePoint - 0 - 3,
Content/576074799,(Hunt_dino_lunar_07) ServersidePoint - 0 - 1,
Content/2287991972,(Hunt_dino_lunar_07) ServersidePoint - 0 - 3,
Content/1620603332,(Hunt_dino_lunar_08) ServersidePoint - 0 - 1,
Content/1915608618,(Hunt_dino_lunar_08) ServersidePoint - 0 - 2,
Content/3398547791,(Hunt_dino_lunar_08) ServersidePoint - 0 - 3,
Content/1814475049,(Hunt_dino_lunar_09) ServersidePoint - 0 - 1,
Content/2123570887,(Hunt_dino_lunar_09) ServersidePoint - 0 - 2,
Content/3325000098,(Hunt_dino_lunar_09) ServersidePoint - 0 - 3,
Content/3273963028,(Hunt_dino_lunar_10) ServersidePoint - 0 - 1,
Content/3515947514,(Hunt_dino_lunar_10) ServersidePoint - 0 - 2,
Content/1764589215,(Hunt_dino_lunar_10) ServersidePoint - 0 - 3,
Content/3483006713,(Hunt_dino_lunar_11) ServersidePoint - 0 - 1,
Content/3710900503,(Hunt_dino_lunar_11) ServersidePoint - 0 - 2,
Content/1704181362,(Hunt_dino_lunar_11) ServersidePoint - 0 - 3,
Content/3663280078,(Hunt_dino_lunar_12) ServersidePoint - 0 - 1,
Content/3370948640,(Hunt_dino_lunar_12) ServersidePoint - 0 - 2,
Content/1884356421,(Hunt_dino_lunar_12) ServersidePoint - 0 - 3,
Content/3605526307,(Hunt_dino_lunar_13) ServersidePoint - 0 - 1,
Content/3293731021,(Hunt_dino_lunar_13) ServersidePoint - 0 - 2,
Content/2095988648,(Hunt_dino_lunar_13) ServersidePoint - 0 - 3,
Content/4057970080,(Hunt_dino_lunar_14) ServersidePoint - 0 - 1,
Content/3815381582,(Hunt_dino_lunar_14) ServersidePoint - 0 - 2,
Content/1540783403,(Hunt_dino_lunar_14) ServersidePoint - 0 - 3,
Content/377044360,(Hunt_dino_lunar_a) ServersidePoint - 0 - 0,
Content/62553279,(Hunt_dino_lunar_b) ServersidePoint - 0 - 0,
Content/251968594,(Hunt_dino_lunar_c) ServersidePoint - 0 - 0,
Content/915950748,(Hunt_dino_ocean_01) ServersidePoint - 0 - 1,
Content/606987122,(Hunt_dino_ocean_01) ServersidePoint - 0 - 2,
Content/2626782231,(Hunt_dino_ocean_01) ServersidePoint - 0 - 3,
Content/593169835,(Hunt_dino_ocean_02) ServersidePoint - 0 - 1,
Content/837722693,(Hunt_dino_ocean_02) ServersidePoint - 0 - 2,
Content/2303903008,(Hunt_dino_ocean_02) ServersidePoint - 0 - 3,
Content/803589446,(Hunt_dino_ocean_03) ServersidePoint - 0 - 1,
Content/1028678312,(Hunt_dino_ocean_03) ServersidePoint - 0 - 2,
Content/2246837709,(Hunt_dino_ocean_03) ServersidePoint - 0 - 3,
Content/148737989,(Hunt_dino_ocean_04) ServersidePoint - 0 - 1,
Content/443031595,(Hunt_dino_ocean_04) ServersidePoint - 0 - 2,
Content/2731820878,(Hunt_dino_ocean_04) ServersidePoint - 0 - 3,
Content/73617192,(Hunt_dino_ocean_05) ServersidePoint - 0 - 1,
Content/383180998,(Hunt_dino_ocean_05) ServersidePoint - 0 - 2,
